date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_3pct_1d,hit_3pct_2d,hit_3pct_3d,hit_3pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,day_of_week,atr_pct,cum_ret_1d,cum_ret_2d,cum_ret_3d,ret_4d,cum_ret_4d,hit_3pct_4d,cum_ret_5d,days_to_target,pos_within_3d,pos_within_5d,max_ret_3d,max_ret_5d
2026-01-21,1333,Ｕｍｉｏｓ,1382.5,1364.5,1305.6,1229.6,766300,527295.0,1.45,1372.7,-0.712,0.0,-0.358,-0.785,0,0,0,0.0,1.43,3.1,-1.61,70.4,,26.1,1387.5,1393.4,1367.8,1409.1,-22.9,False,False,False,True,False,False,False,1,19,2,,-0.712,-0.712,-1.068,0.827,-0.249,0,-1.032,,0,1.0,-0.071,0.427
2026-01-21,1407,ウエストホールディングス,1613.5,1568.5,1505.1,1456.5,709400,630590.0,1.12,1593.9,-1.214,1.044,-2.249,-2.574,0,0,0,0.0,3.53,0.12,1.98,68.3,,-15.8,1577.3,1633.1,1577.3,1637.0,24.3,False,False,False,True,False,False,False,1,3,2,,-1.214,-0.182,-2.427,1.493,-0.971,0,-3.519,,1,1.0,1.699,1.699
2026-01-21,1414,ショーボンドホールディングス,1426.0,1432.1,1351.0,1271.1,1106800,1256510.0,0.88,1420.0,-0.421,-0.528,-0.496,-2.149,0,0,0,0.0,-0.62,-0.45,-0.38,75.4,,-8.4,1420.0,1427.0,1408.0,1458.0,12.4,True,False,False,True,False,False,False,1,19,2,,-0.421,-0.947,-1.438,0.961,-0.491,0,-2.63,,1,1.0,0.14,0.14
2026-01-21,1605,ＩＮＰＥＸ,3185.0,3207.6,3144.7,3058.1,3715400,5618375.0,0.66,3222.0,1.162,0.248,-0.124,2.977,0,0,0,1.0,0.16,-0.88,0.41,54.2,,2.8,3116.0,3196.0,3114.0,3287.0,4.2,True,False,False,False,False,False,True,1,5,2,,1.162,1.413,1.287,0.992,2.292,0,5.338,5.0,1,1.0,2.166,6.028
2026-01-21,1515,日鉄鉱業,3094.5,3081.7,2552.2,2038.0,924600,1040820.0,0.89,3015.4,-2.556,3.607,7.278,5.397,0,1,1,1.0,3.59,-3.15,1.95,74.8,,-28.2,2966.0,3129.1,2959.1,3173.6,11.0,False,False,False,True,False,False,False,0,19,2,,-2.556,0.958,8.307,-1.622,6.55,1,12.3,2.0,1,1.0,11.502,12.62
2026-01-21,1662,石油資源開発,1858.9,1903.2,1698.3,1471.1,3146500,4667235.0,0.67,1877.8,1.014,-0.264,0.159,-0.942,0,0,0,1.0,1.38,-1.88,-0.05,62.8,,-32.0,1820.2,1881.8,1808.3,2130.9,18.0,True,False,False,False,False,False,False,0,19,2,,1.014,0.747,0.908,1.058,1.975,0,1.014,5.0,1,1.0,2.349,3.577
2026-01-21,1719,安藤・間,1968.2,1976.7,1908.6,1810.5,753900,617615.0,1.22,1975.5,0.373,0.768,-1.033,-1.437,0,0,0,0.0,-0.81,-0.37,-0.15,68.5,,-18.9,1954.5,1981.9,1946.6,2002.9,28.4,True,False,False,True,False,False,False,1,19,2,,0.373,1.144,0.1,0.298,0.398,0,-1.045,,1,1.0,1.144,1.144
2026-01-21,1783,ｆａｎｔａｓｉｓｔａ,65.0,63.8,61.5,60.5,1168300,1119965.0,1.04,62.0,-4.615,4.839,3.077,0.0,0,0,1,1.0,3.23,6.25,-4.41,59.3,,59.5,68.0,68.0,64.0,68.0,-48.9,False,False,False,False,False,False,False,1,2,2,,-4.615,0.0,3.077,-1.493,1.538,1,1.538,3.0,1,1.0,3.077,3.077
2026-01-21,1801,大成建設,15777.7,16096.1,15451.1,13516.3,635100,948020.0,0.67,15555.2,-1.41,0.604,-2.559,-2.255,0,0,0,0.0,-1.67,-1.36,-0.22,59.5,,-1.7,15565.1,15832.1,15431.6,17078.1,-32.0,True,False,False,False,False,False,True,1,19,2,,-1.41,-0.815,-3.353,0.649,-2.726,0,-4.92,,1,1.0,0.533,0.533
2026-01-21,1803,清水建設,2746.3,2800.3,2711.5,2508.8,2190200,1999955.0,1.1,2730.6,-0.573,0.954,-3.422,-0.859,0,0,0,0.0,-2.43,-2.37,0.52,55.9,,16.3,2682.9,2766.5,2665.7,2892.8,-1.2,True,False,False,False,True,False,False,3,12,2,,-0.573,0.376,-3.06,0.978,-2.111,0,-2.952,,1,1.0,1.914,1.914
2026-01-21,1802,大林組,3567.4,3566.2,3368.2,3069.5,2327200,2470770.0,0.94,3567.4,0.0,0.443,-1.931,-1.26,0,0,0,0.0,-0.75,0.7,-0.25,75.3,,13.8,3523.9,3587.2,3518.0,3597.1,-13.5,False,False,False,True,False,False,False,4,19,2,,0.0,0.443,-1.496,0.45,-1.053,0,-2.299,,1,1.0,1.579,1.579
2026-01-21,1808,長谷工コーポレーション,3192.3,3214.5,3121.6,2883.3,556800,757570.0,0.73,3191.3,-0.031,0.617,-1.564,-2.764,0,0,0,0.0,-1.42,-0.61,0.0,67.3,,-1.1,3152.9,3210.0,3152.9,3264.2,-37.9,True,False,False,True,False,False,False,2,19,2,,-0.031,0.586,-0.987,0.343,-0.648,0,-3.394,,1,1.0,0.864,0.864
2026-01-21,1812,鹿島建設,6556.0,6526.4,6092.5,5630.2,1515300,1711385.0,0.89,6396.0,-2.44,0.417,-2.183,-1.393,0,0,0,0.0,-1.29,0.3,0.77,74.9,,9.7,6402.9,6568.8,6402.9,6586.6,-6.3,False,False,False,True,False,False,False,2,19,2,,-2.44,-2.033,-4.172,1.54,-2.696,0,-4.052,,1,1.0,0.648,0.648
2026-01-21,1860,戸田建設,1371.1,1372.6,1298.6,1183.0,540800,466695.0,1.16,1370.2,-0.072,0.825,-2.206,-1.675,0,0,0,0.0,-1.13,-0.79,0.58,75.2,,-8.1,1340.2,1375.1,1325.4,1391.3,17.9,True,False,False,True,False,False,False,2,19,2,,-0.072,0.753,-1.47,-0.073,-1.542,0,-3.191,,1,1.0,1.112,1.112
2026-01-21,1861,熊谷組,1740.1,1704.9,1595.3,1508.8,1628700,990020.0,1.65,1745.1,0.283,0.846,-1.51,-0.725,0,0,0,0.0,-0.12,0.52,1.96,80.0,,16.4,1681.1,1742.1,1680.1,1748.0,-45.3,False,False,False,True,False,False,False,1,14,2,,0.283,1.131,-0.396,1.874,1.471,0,0.735,,1,1.0,1.753,2.771
2026-01-21,1878,大東建託,2988.0,3005.0,2949.7,2913.0,1746900,1326770.0,1.32,2998.8,0.36,1.63,-0.962,-1.467,0,0,0,0.0,0.88,-0.29,-1.04,56.7,,5.1,2991.9,3011.5,2977.3,3037.9,26.4,True,False,True,True,False,False,False,2,8,2,,0.36,1.996,1.014,-0.615,0.393,0,-1.08,,1,1.0,2.912,2.912
2026-01-21,1887,日本国土開発,640.0,641.6,570.3,545.9,598800,586285.0,1.02,651.0,1.719,0.461,-3.058,-2.057,0,0,0,0.0,1.4,-2.45,0.47,77.9,,-28.5,628.0,647.0,620.0,656.0,3.6,True,False,False,True,False,False,False,0,9,2,,1.719,2.188,-0.938,-0.315,-1.25,0,-3.281,,1,1.0,2.656,2.656
2026-01-21,1885,東亜建設工業,3226.1,3248.7,2993.7,2700.1,548500,911650.0,0.6,3240.8,0.457,-1.214,-1.69,-2.009,0,0,0,0.0,2.65,0.15,-0.46,61.1,,-23.9,3127.7,3285.1,3127.7,3516.2,-18.2,True,False,False,False,False,False,False,1,13,2,,0.457,-0.762,-2.439,1.094,-1.372,0,-3.354,,1,1.0,1.524,1.524
2026-01-21,1893,五洋建設,1663.1,1694.2,1602.4,1539.4,1680800,2519295.0,0.67,1651.8,-0.681,0.417,-0.534,-1.646,0,0,0,0.0,-1.32,-1.75,0.06,58.3,,-3.7,1624.7,1683.3,1614.8,1767.5,-12.2,True,False,False,False,False,False,False,2,11,2,,-0.681,-0.266,-0.799,-0.269,-1.066,0,-2.694,,1,1.0,1.303,1.303
2026-01-21,1911,住友林業,1666.0,1726.6,1628.0,1607.0,3429300,3711830.0,0.92,1694.0,1.681,-0.738,-1.844,-1.303,0,0,0,0.0,-2.17,-2.45,-1.68,53.8,,52.1,1660.0,1692.5,1659.5,1778.5,-22.8,True,False,True,False,False,False,False,0,3,2,,1.681,0.93,-0.93,-0.061,-0.99,0,-2.281,,1,1.0,2.491,2.491
2026-01-21,1925,大和ハウス工業,5249.7,5318.1,5183.0,5170.3,1836200,1623065.0,1.13,5292.9,0.822,-1.13,-1.011,-1.366,0,0,0,0.0,-0.71,-0.44,-0.92,55.1,,-19.8,5253.7,5278.2,5197.8,5397.7,66.8,True,False,False,True,False,False,True,1,2,2,,0.822,-0.317,-1.326,-0.265,-1.587,0,-2.931,,1,1.0,1.382,1.382
2026-01-21,1928,積水ハウス,3486.3,3534.7,3448.0,3359.5,3695900,2722960.0,1.36,3519.6,0.955,-0.529,-1.538,-1.417,0,0,0,0.0,-0.85,-0.64,-0.92,56.4,,8.6,3476.5,3491.2,3458.9,3576.4,2.1,True,False,False,True,False,False,False,3,16,2,,0.955,0.421,-1.124,0.227,-0.899,0,-2.303,,1,1.0,1.517,1.517
