date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_2pct_1d,hit_2pct_2d,hit_2pct_3d,hit_2pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,day_of_week,atr_pct,cum_ret_1d,cum_ret_2d,cum_ret_3d,ret_4d,cum_ret_4d,hit_2pct_4d,cum_ret_5d,days_to_target,pos_within_3d,pos_within_5d,max_ret_3d,max_ret_5d
2025-12-01,1333,マルハニチロ,1255.3,1247.3,1210.6,1163.2,530700,741870.0,0.72,1259.3,0.319,-1.879,0.27,1.413,0,0,0,0,0.51,1.49,-1.05,65.3,,31.1,1266.0,1266.0,1252.7,1274.3,0.4,False,False,False,True,False,False,False,1,20,0,,0.319,-1.567,-1.301,-1.022,-2.31,0,-0.929,,1,1,1.168,1.168
2025-12-01,1332,ニッスイ,1207.0,1233.1,1170.6,1093.3,1025200,1860760.0,0.55,1213.0,0.497,0.289,-1.439,1.128,0,0,0,0,-1.63,-0.04,-2.31,61.6,,-6.6,1235.5,1237.5,1205.0,1258.0,-20.3,True,False,False,False,False,False,False,1,20,0,,0.497,0.787,-0.663,-0.209,-0.87,0,0.249,,1,1,1.16,1.16
2025-12-01,1414,ショーボンドホールディングス,1235.1,1243.6,1222.9,1216.6,1166000,1233760.0,0.95,1238.3,0.259,-0.537,1.698,1.524,0,0,0,1,-0.82,-0.02,-0.75,54.9,,-22.8,1250.8,1252.1,1234.3,1256.7,61.5,True,False,False,True,False,False,True,1,2,0,,0.259,-0.279,1.415,-0.727,0.677,0,2.212,5.0,1,1,1.415,2.271
2025-12-01,1435,ｒｏｂｏｔ　ｈｏｍｅ,190.0,199.7,192.7,189.2,880500,486145.0,1.81,193.0,1.571,0.515,2.051,0.0,1,1,1,1,0.49,0.0,-6.37,47.4,,91.8,203.9,203.9,188.0,208.9,181.3,False,False,False,False,False,False,False,3,17,0,,1.571,2.094,4.188,-3.015,1.047,1,1.047,1.0,1,1,4.712,4.712
2025-12-01,1605,ＩＮＰＥＸ,3171.8,3225.7,3027.3,2772.7,8160400,5419060.0,1.51,3121.6,-1.582,-1.23,2.458,1.135,0,0,0,0,1.22,0.03,-3.24,64.4,,-8.8,3247.5,3261.3,3131.4,3313.5,101.5,True,False,False,False,False,False,False,1,20,0,,-1.582,-2.792,-0.403,-1.153,-1.551,0,-0.434,,1,1,1.551,1.551
2025-12-01,1662,石油資源開発,1414.0,1418.6,1356.2,1296.4,1310500,1286920.0,1.02,1392.0,-1.556,1.149,1.349,0.421,0,0,0,1,0.42,-0.7,-0.84,63.3,,-12.1,1435.0,1440.0,1386.0,1455.0,38.9,True,False,False,True,False,False,False,4,20,0,,-1.556,-0.424,0.919,-0.07,0.849,1,1.273,4.0,1,1,1.202,2.334
2025-12-01,1719,安藤・間,1849.0,1852.3,1788.3,1720.5,864600,923145.0,0.94,1828.0,-1.136,0.356,-0.409,1.576,0,0,0,0,-0.94,1.25,-1.12,63.0,,-13.6,1878.0,1886.5,1838.0,1886.5,45.8,True,False,False,True,False,False,False,3,20,0,,-1.136,-0.784,-1.19,0.739,-0.46,0,1.109,,0,1,-0.406,1.406
2025-12-01,1801,大成建設,13265.0,13312.0,12474.8,11077.3,996800,1089785.0,0.91,13220.0,-0.339,1.626,-0.074,3.446,0,0,1,1,-1.82,1.14,-0.64,68.7,,-38.8,13230.0,13345.0,13010.0,13525.0,22.3,True,False,False,True,False,False,False,1,20,0,,-0.339,1.282,1.206,-1.639,-0.452,1,2.978,3.0,1,1,3.166,3.166
2025-12-01,1802,大林組,3119.0,3155.4,2924.2,2612.4,2850900,4178965.0,0.68,3129.0,0.321,-0.32,0.321,2.466,0,0,0,0,0.09,0.03,-2.04,71.7,,32.0,3164.0,3172.0,3095.0,3218.0,6.1,True,False,False,False,False,False,False,0,20,0,,0.321,0.0,0.321,-1.502,-1.186,0,1.25,,1,1,1.347,1.347
2025-12-01,1803,清水建設,2769.5,2690.6,2435.9,2177.5,3335500,3473460.0,0.96,2716.5,-1.914,0.129,-1.507,2.06,0,0,0,0,1.34,3.13,-0.05,83.2,,16.1,2759.5,2780.0,2686.0,2789.5,-0.1,False,False,False,True,False,False,False,2,20,0,,-1.914,-1.787,-3.268,-1.25,-4.477,0,-2.509,,0,0,-0.018,-0.018
