date,code,name,close,sma5,sma20,sma60,rsi,volume,volume_ratio,day_change_pct,prev_day_change_pct,high_price,low_price,atr_pct
2026-09-10,8918,"LAND Co., Ltd.",10.0,10.6,10.6,10.3,,308471800,0.89,,,,,
2026-09-10,9432,NTT Inc,175.2,172.2,168.5,156.4,,213162900,0.97,,,,,
2026-09-10,4564,"OncoTherapy Science, Inc.",22.0,22.2,21.5,20.3,,160079800,1.01,,,,,
2026-09-10,9434,SoftBank Corp.,243.2,240.2,237.5,224.4,,90960300,1.4,,,,,
2026-09-10,8729,Sony Financial Group Inc.,159.0,161.4,160.1,153.5,,48742200,0.79,,,,,
2026-09-10,9501,"Tokyo Electric Power Company Holdings, Incorporated",546.3,559.4,541.5,512.8,,42620800,1.05,,,,,
2026-09-10,8306,"Mitsubishi UFJ Financial Group, Inc.",3662.0,3683.0,3627.2,3526.8,,36327100,0.9,,,,,
2026-09-10,5401,NIPPON STEEL CORP.,690.6,686.8,680.2,624.8,,34091100,0.77,,,,,
2026-09-10,4883,Modalis Therapeutics Corporation,43.0,37.2,34.3,33.1,,31121900,54.86,,,,,
2026-09-10,6203,"Howa Machinery, Ltd.",2344.0,2011.2,1631.3,1560.7,,21731100,4.01,,,,,
2026-09-10,8001,Itochu Corporation,2283.0,2265.5,2133.3,1999.1,,16511700,1.03,,,,,
2026-09-10,2321,Softfront Holdings,197.0,162.2,141.0,135.4,,13050700,25.13,,,,,
2026-09-10,5020,"ENEOS Holdings, Inc.",1472.0,1407.8,1347.4,1293.2,,12119400,1.41,,,,,
2026-09-10,4005,"Sumitomo Chemical Co., Ltd.",567.2,578.8,564.7,541.3,,10406500,0.71,,,,,
2026-09-10,8267,"AEON Co., Ltd.",1363.0,1393.3,1375.6,1371.8,,10190600,0.96,,,,,
2026-09-10,8316,"Sumitomo Mitsui Financial Group, Inc.",6901.0,6937.8,6844.7,6776.6,,10054500,0.84,,,,,
2026-09-10,8308,"Resona Holdings, Inc.",2488.5,2496.8,2466.0,2330.3,,9814800,1.03,,,,,
2026-09-10,4052,"Ficha, Inc.",1340.0,969.0,697.4,436.1,,9432200,1.84,,,,,
2026-09-10,8053,Sumitomo Corporation,1812.0,1836.4,1783.4,1671.8,,9425700,0.81,,,,,
2026-09-10,9433,KDDI Corporation,3008.0,2983.4,2926.0,2854.5,,9201100,1.13,,,,,
2026-09-10,1783,"Fantasista Co.,Ltd",71.0,63.4,52.5,50.7,,8859400,3.91,,,,,
2026-09-10,8309,"Sumitomo Mitsui Trust Group, Inc.",1757.5,1765.4,1750.3,1666.2,,8236700,0.85,,,,,
2026-09-10,4062,"IBIDEN CO., LTD.",20680.0,21117.0,20369.0,20261.0,,8211600,1.01,,,,,
2026-09-10,8604,"Nomura Holdings, Inc.",1666.0,1651.1,1599.4,1543.6,,8062600,0.85,,,,,
2026-09-10,8058,Mitsubishi Corporation,4987.0,4968.8,4835.8,4690.1,,7541100,0.88,,,,,
2026-09-10,5019,"Idemitsu Kosan Co., Ltd.",1650.5,1564.5,1430.9,1318.7,,7459600,1.41,,,,,
2026-09-10,8411,"Mizuho Financial Group, Inc.",8606.0,8633.0,8466.3,8287.7,,7413600,0.83,,,,,
2026-09-10,6330,Toyo Engineering Corporation,2839.0,2715.4,2577.2,2200.3,,7185800,0.8,,,,,
2026-09-10,3382,"Seven & I Holdings Co., Ltd.",2016.0,2040.8,2036.4,2032.3,,7172100,0.68,,,,,
2026-09-10,3653,"Morpho, Inc.",1490.0,1359.4,965.7,740.5,,6683500,2.3,,,,,
2026-09-10,6702,Fujitsu Limited,3788.0,3807.8,3767.7,3523.9,,6626700,1.06,,,,,
2026-09-10,9506,"Tohoku Electric Power Company, Incorporated",1423.5,1389.8,1335.6,1192.0,,6304000,1.6,,,,,
2026-09-10,8031,"Mitsui & Co.,Ltd",5093.0,5092.0,4984.4,4819.1,,5770000,0.84,,,,,
2026-09-10,4661,"Oriental Land Co., Ltd.",3173.0,3146.4,3029.3,2793.7,,5453000,1.15,,,,,
2026-09-10,5202,"Nippon Sheet Glass Company, Limited",495.0,493.2,489.7,483.6,,4999100,1.56,,,,,
2026-09-10,8002,Marubeni Corporation,5019.0,5092.6,4989.9,4987.4,,4958800,1.13,,,,,
2026-09-10,7182,"Japan Post Bank Co., Ltd.",3299.0,3301.4,3283.7,3239.9,,4898500,0.83,,,,,
2026-09-10,7709,Kubotek Corporation,72.0,56.8,50.6,49.2,,4646600,2.18,,,,,
2026-09-10,4188,Mitsubishi Chemical Group Corporation,1184.5,1196.6,1188.7,1171.7,,4515800,0.65,,,,,
2026-09-10,9107,"Kawasaki Kisen Kaisha, Ltd.",3300.0,3365.6,3307.4,2877.4,,4493600,1.08,,,,,
2026-09-10,9503,"Kansai Electric Power Company, Incorporated",2957.0,2961.6,2711.1,2463.3,,4415000,0.83,,,,,
2026-09-10,8601,Daiwa Securities Group Inc.,1837.0,1840.4,1815.1,1769.5,,4332500,0.88,,,,,
2026-09-10,6326,Kubota Corporation,2794.5,2868.9,2812.5,2769.4,,4075100,0.72,,,,,
2026-09-10,2330,"Forside Co., Ltd.",106.0,111.0,87.8,79.2,,4034500,0.6,,,,,
2026-09-10,4506,Sumitomo Pharma Co.Ltd.,1535.5,1593.4,1499.4,1419.9,,3795200,0.87,,,,,
2026-09-10,8473,SBI Holdings Incorporated,3290.0,3322.0,3244.6,2973.2,,3682700,0.84,,,,,
2026-09-10,8725,"MS&AD Insurance Group Holdings, Inc.",4964.0,5075.6,5029.6,4768.3,,3648000,0.91,,,,,
2026-09-10,6178,"JAPAN POST HOLDINGS Co., Ltd.",2432.5,2457.4,2425.3,2362.0,,3604700,0.55,,,,,
2026-09-10,9602,"Toho Co., Ltd.",1607.0,1595.1,1562.2,1444.0,,3410600,0.88,,,,,
2026-09-10,2315,CAICA DIGITAL Inc.,68.0,69.0,67.0,62.2,,3333700,0.59,,,,,
2026-09-10,5032,ANYCOLOR Inc.,3240.0,2995.0,2928.1,2604.0,,3324100,6.5,,,,,
2026-09-10,8410,"Seven Bank, Ltd.",336.9,336.8,336.6,313.7,,3193000,0.83,,,,,
2026-09-10,9843,Nitori Holdings Co. Ltd.,3267.0,3283.2,3094.3,2708.0,,3049600,0.75,,,,,
2026-09-10,9697,"Capcom Co., Ltd.",4196.0,4280.0,4225.8,3687.9,,3032000,1.16,,,,,
2026-09-10,4583,Chiome Bioscience Inc.,94.0,98.4,87.3,76.8,,2988700,0.65,,,,,
2026-09-10,8015,Toyota Tsusho Corp.,7430.0,7539.4,7454.4,6770.7,,2791000,1.35,,,,,
2026-09-10,3038,"Kobe Bussan Co., Ltd.",3071.0,3060.8,2879.2,2757.0,,2752200,1.11,,,,,
2026-09-10,7167,"Mebuki Financial Group, Inc.",1664.5,1677.4,1672.7,1554.0,,2744400,1.1,,,,,
2026-09-10,9504,"Chugoku Electric Power Co., Inc.",1072.5,1070.4,1006.8,946.2,,2599400,1.05,,,,,
2026-09-10,2492,Infomart Corporation,714.0,703.6,638.7,535.2,,2559900,0.62,,,,,
2026-09-10,3659,"NEXON Co., Ltd.",3116.0,3106.8,3097.0,2572.6,,2458300,0.81,,,,,
2026-09-10,5301,"Tokai Carbon Co., Ltd.",2000.0,1897.4,1785.1,1716.2,,2451400,1.29,,,,,
2026-09-10,6301,Komatsu Ltd.,7389.0,7453.2,7355.9,6907.6,,2416600,0.92,,,,,
2026-09-10,9104,"Mitsui O.S.K.Lines,Ltd.",6980.0,7053.2,7019.6,6077.2,,2340300,0.74,,,,,
2026-09-10,4588,"Oncolys BioPharma, Inc.",5790.0,5283.0,4250.0,3189.4,,2257800,1.26,,,,,
2026-09-10,5831,"Shizuoka Financial Group, Inc.",3535.0,3571.8,3558.2,3334.9,,2249000,1.17,,,,,
