date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_2pct_1d,hit_2pct_2d,hit_2pct_3d,hit_2pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,atr_pct,day_of_week,cum_ret_1d,cum_ret_2d,cum_ret_3d,ret_4d,cum_ret_4d,hit_2pct_4d,cum_ret_5d,days_to_target,pos_within_3d,pos_within_5d,max_ret_3d,max_ret_5d,max_high_ret_5d
2025-12-01,BBY,Best Buy,76.23,77.53,76.56,76.35,6989400,3849075.0,1.82,73.91,-3.042,-0.681,-0.43,-2.171,0,0,0,0,1.66,-2.1,-2.57,48.3,,-55.6,76.98,77.74,75.51,82.58,180.5,False,False,False,False,False,False,True,1,1,3.4,0,-3.042,-3.703,-4.117,0.149,-3.975,0,-6.059,,1,1,0.738,0.738,0.738
2025-12-01,IVZ,Invesco,24.46,24.14,23.33,22.85,7919600,4026650.0,1.97,24.05,-1.703,0.619,3.362,-1.639,0,0,1,1,1.24,-0.33,0.86,63.3,,-61.0,24.08,24.52,23.78,24.59,470.5,False,False,False,True,False,False,False,1,3,3.18,0,-1.703,-1.095,2.23,4.086,6.407,1,4.663,3.0,1,1,4.217,7.015,7.015
2025-12-01,WYNN,Wynn Resorts,132.48,128.04,123.59,123.08,2831000,1834495.0,1.54,132.8,0.241,-1.172,-4.417,1.291,0,0,0,0,1.56,-0.6,3.18,63.5,,-55.8,131.83,134.43,131.35,134.43,228.7,False,False,True,True,False,False,False,0,1,3.42,0,0.241,-0.934,-5.31,-0.167,-5.468,0,-4.248,,1,1,0.911,0.911,0.911
2025-12-02,COO,Cooper Companies (The),75.84,77.47,73.08,70.7,4079900,2655655.0,1.54,75.98,0.185,1.382,5.673,0.602,0,1,1,1,-0.01,-0.67,-2.03,59.2,,154.4,77.44,77.66,75.25,78.69,14.7,True,False,False,False,False,False,False,1,11,2.66,1,0.185,1.569,7.331,-4.128,2.901,1,3.521,2.0,1,1,18.447,18.447,18.447
2025-12-02,DLTR,Dollar Tree,108.99,109.02,104.6,98.61,5751500,3430050.0,1.68,112.92,3.606,2.612,5.67,-0.54,1,1,1,1,0.97,-0.83,-0.82,60.8,,70.6,109.89,110.51,107.74,111.95,57.0,True,False,False,True,False,False,False,0,3,3.27,1,3.606,6.313,12.341,-1.723,10.405,1,9.808,1.0,1,1,15.414,15.414,15.414
2025-12-02,IVZ,Invesco,24.05,24.23,23.37,22.89,5887300,4135345.0,1.42,24.19,0.619,3.362,4.086,2.828,1,1,1,1,-0.33,0.86,-1.7,57.8,,470.5,24.5,24.53,24.02,24.59,-25.7,True,False,False,True,False,False,False,1,4,3.2,1,0.619,4.002,8.251,-1.639,6.477,1,9.488,1.0,1,1,8.87,9.86,9.86
2025-12-02,VLO,Valero Energy,177.44,175.8,174.92,166.87,3239000,2682975.0,1.21,175.97,-0.829,-1.186,-0.463,1.014,0,0,0,0,1.31,2.14,-1.11,56.5,,174.8,178.35,178.73,172.59,183.34,25.9,False,False,False,False,False,False,True,1,1,3.55,1,-0.829,-2.005,-2.459,-0.333,-2.784,0,-1.798,,1,1,1.473,1.473,1.473
2025-12-03,APH,Amphenol,138.38,139.53,137.35,129.93,10115400,8187960.0,1.24,139.19,0.584,-0.072,0.502,0.072,0,0,1,1,-1.19,1.63,-2.01,54.3,,18.9,140.66,140.79,137.05,144.09,16.0,True,False,False,False,False,False,False,2,2,3.57,2,0.584,0.512,1.017,-1.057,-0.05,1,0.022,3.0,1,1,2.611,2.611,2.611
2025-12-03,APO,Apollo Global Management,133.95,131.48,129.53,129.34,4833300,3364925.0,1.44,136.19,1.673,1.009,-0.543,3.607,0,1,1,1,-0.35,0.53,1.83,60.7,,-42.4,131.48,135.01,130.55,135.94,204.3,False,False,False,True,False,False,True,1,0,3.06,2,1.673,2.699,2.141,4.739,6.981,1,10.84,2.0,1,1,3.078,11.227,11.227
2025-12-03,COO,Cooper Companies (The),75.98,77.02,73.42,70.83,3974200,2771290.0,1.43,77.03,1.382,5.673,-4.128,2.84,1,1,1,1,-0.67,-2.03,0.18,59.6,,14.7,75.37,76.84,75.36,78.69,-2.6,True,False,True,False,True,False,False,1,12,2.62,2,1.382,7.133,2.711,0.602,3.33,1,6.265,1.0,1,1,18.228,18.228,18.228
