date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_2pct_1d,hit_2pct_2d,hit_2pct_3d,hit_2pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,day_of_week,ret_4d,hit_2pct_4d,pos_within_3d,pos_within_5d
2025-12-08,ACN,Accenture,266.5,267.26,251.29,246.6,3218800,3778415.0,0.85,269.53,1.137,0.998,-0.68,1.142,0,1,0,1,-1.29,-1.02,-0.03,63.2,,-8.1,265.73,268.63,265.01,280.71,-15.0,True,False,True,False,False,False,False,1,7,0,0.44,0,1,1
2025-12-08,ALGN,Align Technology,157.68,155.53,144.24,135.94,1180000,1604220.0,0.74,159.0,0.837,3.509,-0.431,-1.632,0,1,1,1,1.19,0.24,0.3,74.2,,14.7,157.34,158.92,156.66,159.5,-24.6,False,False,False,True,False,False,False,0,8,0,0.952,1,1,1
2025-12-08,MMM,3M,163.23,168.32,167.9,160.73,3254000,2897345.0,1.12,164.35,0.689,0.345,1.775,-1.895,0,0,1,0,-2.21,-1.06,-2.1,44.2,,5.6,165.03,165.08,161.57,173.91,7.7,False,False,False,False,False,False,False,4,24,0,0.178,1,1,1
2025-12-08,ALB,Albemarle Corporation,126.5,124.55,119.25,99.78,3602800,4127175.0,0.87,128.58,1.643,3.032,1.036,-0.392,0,1,1,1,-5.81,5.08,1.61,62.7,,24.1,127.58,127.69,124.04,132.17,-31.6,False,False,False,False,False,False,False,1,18,0,-1.077,1,1,1
2025-12-08,GOOG,Alphabet Inc. (Class C),314.23,317.92,303.01,271.94,22006900,28620855.0,0.77,317.53,1.049,1.023,-2.274,-0.386,0,1,0,0,-0.7,1.16,-2.31,62.8,,-24.5,320.8,321.0,311.69,328.22,40.0,True,False,False,False,False,False,False,2,24,0,-1.014,0,1,1
2025-12-08,GOOGL,Alphabet Inc. (Class A),313.5,317.22,302.57,271.37,33909400,45281420.0,0.75,316.86,1.071,0.987,-2.43,-0.346,0,1,0,0,-0.63,1.15,-2.29,62.5,,-7.6,319.82,320.21,311.0,328.38,17.5,True,False,False,False,False,False,False,2,24,0,-1.005,0,1,1
2025-12-08,AXP,American Express,361.48,365.71,359.04,347.48,2581400,2534745.0,1.02,363.1,0.45,3.204,2.482,0.003,0,1,1,1,0.82,-0.22,-2.18,53.6,,-2.4,369.09,369.18,359.9,376.39,30.5,True,False,False,False,False,False,False,2,6,0,-0.605,1,1,1
2025-12-08,ADI,Analog Devices,278.26,276.13,248.35,241.89,3190800,4469505.0,0.71,275.38,-1.035,1.929,0.646,0.401,0,0,0,0,-0.35,1.45,-0.42,74.4,,17.8,280.9,281.66,276.11,281.66,-16.8,False,False,False,True,False,False,False,0,3,0,-1.436,0,1,1
2025-12-08,APH,Amphenol,139.79,139.53,137.49,130.96,3882800,7939910.0,0.49,138.31,-1.057,0.072,0.296,0.511,0,0,0,0,0.58,-0.07,0.5,56.5,,-9.2,139.73,142.0,139.37,144.09,-47.8,False,False,True,False,False,False,False,2,5,0,-7.082,0,0,0
2025-12-08,AME,Ametek,199.26,198.77,195.46,190.29,1072900,1416635.0,0.76,195.97,-1.651,2.393,1.585,0.719,0,0,1,0,0.0,0.45,-0.27,60.7,,51.7,199.29,201.09,198.65,201.39,-31.3,False,False,True,True,False,False,False,1,6,0,-1.03,0,1,1
